Car title,Drive distance,Price,Link
2002 chevy Cavaleir,240000 km,1000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2002-chevy-cavaleir/1731663200
1992 chevy 3500 diesel 4x4.,350000 km,1200.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1992-chevy-3500-diesel-4x4/1731638614
2001 Buick Century,194233 km,2000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2001-buick-century/1731654485
2000 Lesabre,246600 km,2000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2000-lesabre/1731683446
1995 diesel yukon,450000 km,3600.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1995-diesel-yukon/1731629344
GMC Terrain SLT 2010 ,351000 km,3750.0,https://www.kijiji.ca/v-cars-trucks/red-deer/gmc-terrain-slt-2010/1731674778
2007 Chevy 1500,323000 km,5000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-chevy-1500/1731632167
2004 Ford F250 SD XLT,184000 km,6750.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2004-ford-f250-sd-xlt/1731629748
2014 ram 2500 longbox,332361 km,8000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2014-ram-2500-longbox/1731657627
2003 Ford Ranger Edge 2WD 3.0 L V6 for sale,262600 km,8800.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2003-ford-ranger-edge-2wd-3-0-l-v6-for-sale/1731652713
2012 Jeep Grand Cherokee ,220000 km,9500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2012-jeep-grand-cherokee/1731631039
1992 Chevrolet Silverado 1500 Ext 2WD,330000 km,10500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/1992-chevrolet-silverado-1500-ext-2wd/1731630678
2016 Dodge Journey RT AWD,149000 km,12000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2016-dodge-journey-rt-awd/1731640691
2007 Ford F-350 Super Duty SuperCab XLT,225438 km,13900.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2007-ford-f-350-super-duty-supercab-xlt/1728563791
2011 Ram 5500/Vmac,240000 km,15000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2011-ram-5500-vmac/1731366792
2015 GMC SIERRA 1500 SLE ALL TERRAIN 4WD,244283 km,19500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2015-gmc-sierra-1500-sle-all-terrain-4wd/1728693498
2011 Mercedes Benz Sprinter,321860 km,22000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2011-mercedes-benz-sprinter/1731637081
2014 Ram 3500 flat deck ,347000 km,29500.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2014-ram-3500-flat-deck/1731662286
2017 Chevy Colorado ZR2,157000 km,29900.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2017-chevy-colorado-zr2/1731629522
2023 Subaru Crosstrek - Outdoor,24900 km,30000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2023-subaru-crosstrek-outdoor/1731654201
"2017 1SS rag top Chevy Camaro for sale - $45,000",87369 km,45000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2017-1ss-rag-top-chevy-camaro-for-sale-45-000/1731649477
2024 VW Golf R,68500 km,45000.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2024-vw-golf-r/1731675560
2024 Jeep Wrangler Rubicon 392,15500 km,104900.0,https://www.kijiji.ca/v-cars-trucks/red-deer/2024-jeep-wrangler-rubicon-392/1728693841
